O que voce considera importante na hora de escolher uma instituic∆o de ensino superior Ser uma instituic∆o renomada;O que voce considera importante na hora de escolher uma instituic∆o de ensino superior Ser uma instituic∆o publica;O que voce considera importante na hora de escolher uma instituic∆o de ensino superior Ser uma instituic∆o privada;O que voce considera importante na hora de escolher uma instituic∆o de ensino superior Ser uma instituic∆o atualizada com o mercado;O que voce considera importante na hora de escolher uma instituic∆o de ensino superior Ser gratuita ou ter um preco acessivel;O que voce considera importante na hora de escolher uma instituic∆o de ensino superior Ter uma boa estrutura fiscia e pedagogica;O que voce considera importante na hora de escolher uma instituic∆o de ensino superior Ter um bom indicie de empregabilidade aPos formado;O que voce considera importante na hora de escolher uma instituic∆o de ensino superior Ter uma boa grade de ensino incluindo aulas praticas;O que voce considera importante na hora de escolher uma instituic∆o de ensino superior Ter atividades complementares na grade de ensino;O que voce considera importante na hora de escolher uma instituic∆o de ensino superior Ter programas de intercÉmbio;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter programas de bolsas de estudo e estagio interno
5;3;1;5;5;4;4;5;5;2;1
3;5;1;5;5;5;1;1;1;1;1
5;4;5;5;5;5;5;5;5;5;5
5;3;3;5;5;4;5;5;3;4;4
5;2;2;4;3;5;4;5;3;3;4
5;3;5;5;5;5;5;5;4;5;5
3;4;4;4;5;5;4;5;5;4;5
5;5;1;5;5;5;5;5;5;4;5
2;1;4;5;5;5;4;5;2;2;3
3;3;5;5;5;5;5;5;5;5;5
3;3;3;3;3;3;3;3;3;3;3
3;2;2;5;5;5;5;5;5;2;2
5;1;2;5;1;5;5;5;5;5;5
4;2;4;5;4;5;4;5;5;3;5
2;1;5;4;2;1;1;2;2;3;1
5;5;3;5;5;5;5;5;5;5;5
3;3;1;3;3;3;3;3;3;3;3
3;3;3;3;5;5;5;5;4;3;5
3;3;;2;2;3;3;3;;3;3
5;1;5;5;4;5;3;5;5;3;5
5;3;3;5;4;4;5;4;4;4;3
5;5;5;5;5;5;5;5;5;5;5
4;1;3;5;2;4;5;4;3;3;3
5;5;1;3;5;3;3;3;2;2;2
5;3;3;5;5;5;5;5;5;5;5
3;3;3;3;3;3;3;3;3;3;3
;5;;5;;;5;5;;;
4;3;4;5;5;5;5;5;5;4;5
4;3;4;5;5;5;5;5;5;4;5
5;3;2;5;5;5;5;5;3;4;5
4;4;2;3;5;4;3;4;5;3;4
5;1;4;5;2;5;2;5;4;5;5
3;4;2;4;4;5;4;5;4;1;4
4;2;3;4;4;5;5;5;4;5;5
1;5;1;5;5;5;5;5;5;3;5
5;1;1;5;4;5;5;5;5;4;4
5;3;3;5;3;5;5;4;4;4;5
5;3;3;5;4;4;5;5;5;3;5
5;3;3;5;3;4;5;5;5;5;5
3;3;3;4;3;3;3;4;3;2;1
2;3;2;3;3;3;3;3;2;3;3
5;1;5;5;5;4;1;1;1;1;1
5;3;3;5;3;5;5;5;5;5;5
5;3;3;5;3;5;5;5;5;3;3
5;5;5;5;5;5;5;5;5;5;5
5;3;3;5;4;5;3;5;3;3;3
4;2;2;5;5;5;5;5;2;2;
5;3;3;5;5;5;5;5;5;5;5
5;3;5;5;4;5;5;5;5;5;5
4;4;2;5;5;5;5;5;4;4;4
5;3;2;5;5;5;5;5;5;4;5
3;5;3;;5;5;4;5;5;2;4
4;4;3;4;5;5;4;5;3;5;5
5;5;3;5;;5;5;5;5;5;5
3;1;1;5;3;3;3;3;3;3;3
5;2;2;5;4;5;5;5;3;3;5
1;;;5;;;;;;;
5;3;3;5;4;5;4;5;4;4;4
5;;;5;;5;5;5;5;5;5
5;5;3;3;5;5;5;5;;5;5
5;4;4;5;5;5;5;4;4;3;5
5;;;5;5;;;;;;
5;3;2;5;1;5;5;5;5;5;5
;1;;1;1;1;1;1;1;1;1
1;1;1;5;1;2;2;2;2;1;2
5;3;3;5;5;5;5;5;5;5;5
4;5;3;5;4;5;5;4;4;4;5
4;5;3;5;3;5;5;5;4;4;4
5;2;2;5;5;5;5;5;5;5;5
5;5;5;1;1;2;1;4;1;1;1
5;5;2;5;3;5;5;5;1;3;5
5;5;4;5;5;5;5;5;1;5;5
3;5;5;5;5;3;5;5;1;5;5
3;5;5;5;5;3;5;5;1;5;5
3;3;3;5;1;5;5;5;5;5;
5;5;4;5;5;5;5;5;5;5;5
4;1;3;5;5;5;5;5;5;5;5
3;5;1;5;5;5;4;5;1;4;4
4;3;3;4;5;5;4;4;4;3;4
5;5;2;5;4;5;4;5;1;4;5
4;5;3;5;4;5;4;5;4;3;3
5;5;3;5;4;5;4;4;4;3;5
4;5;1;5;3;4;4;4;3;1;3
5;5;4;5;4;4;5;5;5;5;5
5;1;1;5;4;5;5;5;5;4;1
5;3;3;5;4;4;4;5;4;3;3
5;4;4;5;5;5;5;5;2;5;5
5;2;2;5;4;5;5;3;4;4;5
5;3;3;5;3;5;5;5;3;4;5
5;5;5;5;5;5;5;5;3;5;5
5;5;4;5;5;5;5;5;5;5;5
5;5;5;5;5;5;5;5;5;5;5
2;4;2;5;5;5;4;5;5;4;4
3;1;1;5;;3;3;4;4;3;4
5;2;2;5;5;5;4;5;5;4;4
5;3;4;5;5;5;5;5;5;4;4
5;3;3;5;4;5;5;5;5;2;4
3;3;3;5;5;5;4;5;5;5;5
5;3;3;5;5;5;5;5;5;4;5
5;5;3;5;4;4;4;4;3;5;5
5;1;1;5;3;5;5;5;5;5;5
5;1;5;5;5;5;5;5;4;4;5
3;2;2;5;2;5;5;4;4;4;4
3;3;3;3;3;3;3;3;3;3;3
5;1;1;5;5;5;5;5;5;5;5
5;1;1;5;2;4;4;3;4;2;2
5;3;3;5;4;4;5;5;5;3;4
5;3;3;5;4;5;5;5;5;5;5
5;3;3;5;5;5;5;5;5;5;5
2;2;2;5;4;4;5;5;5;5;5
5;2;2;5;2;5;5;5;5;5;5
1;3;3;5;3;1;1;1;1;1;1
5;3;3;5;4;5;5;5;5;5;5
;;;5;1;1;;;;;
4;4;3;5;3;5;4;5;4;5;5
5;2;2;5;1;5;5;5;5;4;5
5;4;3;5;5;3;5;3;3;4;4
4;4;5;5;5;5;5;5;5;4;5
5;5;2;5;3;5;5;5;5;4;3
5;1;1;5;3;5;5;4;3;3;5
5;2;2;5;4;5;5;4;2;2;2
5;2;4;4;5;4;3;4;4;3;4
3;3;3;3;3;3;3;3;3;3;3
5;5;1;5;5;5;5;5;2;3;5
;;;;1;;;;;;
5;;3;4;4;5;4;4;5;3;3
4;3;3;5;4;5;4;5;5;5;4
3;5;1;5;5;5;4;5;5;2;4
5;4;5;5;5;5;5;5;5;5;5
4;2;3;3;4;4;4;5;5;4;2
4;2;2;4;5;5;5;5;5;4;4
3;3;3;3;3;3;3;3;3;3;3
3;4;2;5;3;4;4;4;4;3;3
2;4;1;5;2;5;5;5;5;5;4
4;1;1;4;4;4;4;5;5;5;5
5;1;5;5;5;5;5;5;5;5;5
